"trade_id","chronological_fold","entry_ts","exit_ts","direction","side","weekday","utc_hour","month","gann_state","gann_high_slope","gann_low_slope","normalized_ma_distance","bars_since_gann_flip","breakout_age_bars","donchian_channel_width_pct","donchian_breakout_distance_atr","atr_pct","recent_return_20","recent_range_20","recent_volatility_20","recent_cross_count","stop_distance_atr","stop_distance_pct","gap_fill","entry_price","stop_price","entry_exposure_pct","initial_risk_pct","quality_label","net_pnl","gross_pnl","return_on_equity_pct","mfe_r","mae_r","bars_held","exit_reason"
"tr_3e2565d6c01a","1","2017-11-03T18:00:00+00:00","2017-11-06T15:00:00+00:00","long","long","4","18","11","1","0,006952","-0,007238","0,0026358","0","1","0,00665097","0,416794","0,00109183","0,00225415","0,00585461","0,00090118","2","3,182061","0,00347395","True","114,279","113,882","60,0","0,2084","worthwhile","-4,28","-4,07","-0,0857","1,1537","-0,8186","21","gann_state_exit"
"tr_0972c5db41d6","1","2017-11-09T11:00:00+00:00","2017-11-10T12:00:00+00:00","short","short","3","11","11","-1","-0,002286","-0,003667","-0,00258576","3","4","0,00593655","-0,861665","0,00143108","0,00063457","0,00593655","0,00083481","2","2,5","0,00358218","False","113,392","113,7982","60,0514","0,2151","worthwhile","0,05","0,26","0,0011","0,741","-0,741","25","gann_state_exit"
"tr_0328bc4c7119","1","2017-11-14T02:00:00+00:00","2017-11-14T17:00:00+00:00","long","long","1","2","11","1","-0,002095","-0,00181","0,0014021","7","8","0,0043396","-0,965823","0,00099342","-0,00050149","0,00395229","0,00059439","2","2,5","0,00248112","False","113,716","113,4339","80,0677","0,1987","worthwhile","-8,28","-8,0","-0,1658","0,6947","-0,9676","15","gann_state_exit"
"tr_f7fb23677105","1","2017-11-17T03:00:00+00:00","2017-11-20T16:00:00+00:00","short","short","4","3","11","-1","0,00019","-0,006","-0,00163903","0","1","0,00587089","-2,271373","0,00130211","-0,0012205","0,00527761","0,00082163","3","3,094236","0,00404107","False","112,594","113,049","60,1505","0,2431","worthwhile","8,58","8,79","0,1721","1,5582","-0,2","37","gann_state_exit"
"tr_6df25ab97bd2","1","2017-11-27T14:00:00+00:00","2017-11-28T06:00:00+00:00","short","short","0","14","11","-1","-0,007143","-0,007095","-0,00253276","10","11","0,00483691","-0,906352","0,00105147","-0,00245736","0,00483691","0,00057717","1","2,5","0,00263122","False","111,12","111,4124","80,0629","0,2107","worthwhile","-2,8","-2,52","-0,056","0,9508","-0,708","16","gann_state_exit"
"tr_e4f0bd4f32f9","1","2017-12-01T16:00:00+00:00","2017-12-01T18:00:00+00:00","long","long","4","16","12","1","0,020333","0,024429","0,0028282","0","1","0,00907381","0,279689","0,00152223","0,00205313","0,00423977","0,00105858","2","2,5","0,0038052","True","112,753","112,324","60,0809","0,2286","worthwhile","-11,72","-11,51","-0,2348","0,2844","-3,1442","2","stop"
"tr_5c19001f2952","1","2017-12-06T04:00:00+00:00","2017-12-07T04:00:00+00:00","short","short","2","4","12","-1","-0,003524","-0,005476","-0,00197067","2","3","0,00445496","-0,66879","0,00126311","-0,00111915","0,00439271","0,00064086","4","2,5","0,00316049","False","112,362","112,7171","60,2222","0,1903","worthwhile","-3,06","-2,85","-0,0615","1,0419","-0,352","24","gann_state_exit"
"tr_609212b9b6c2","1","2017-12-13T05:00:00+00:00","2017-12-15T19:00:00+00:00","short","short","2","5","12","-1","0,000857","-0,000333","-0,00082257","2","3","0,00362226","-1,935154","0,00086076","0,00048497","0,00334905","0,00046871","1","2,5","0,00215554","False","113,274","113,5182","80,3456","0,1732","worthwhile","20,49","20,77","0,4115","5,0908","-0,7372","62","gann_state_exit"
"tr_3ffce3bc1ba7","1","2017-12-28T06:00:00+00:00","2018-01-02T04:00:00+00:00","short","short","3","6","12","-1","-0,00119","-0,001143","-0,00113456","1","2","0,00236843","-0,490598","0,00073856","-0,00023855","0,00236843","0,00040121","2","2,5","0,00184709","False","113,112","113,3209","80,0163","0,1478","worthwhile","13,2","13,48","0,2641","3,0585","0,0","46","gann_state_exit"
"tr_29cdc1b5fb76","1","2018-01-02T11:00:00+00:00","2018-01-03T07:00:00+00:00","short","short","1","11","1","-1","0,004381","-0,006","-0,00271683","0","1","0,00530315","0,888619","0,00087115","-0,00149262","0,00371043","0,0007489","2","2,604572","0,00226903","True","112,383","112,638","99,757","0,2264","worthwhile","1,83","2,18","0,0365","1,2863","-0,0549","20","gann_state_exit"
